CurrencySymbol,UnitsAvail,UnitsInOrder,targetUnits,targetPct,unitsToTarget,euroValueToTarget,AvailEurValue
BTC,0.000200,0.000000,0.000780,0.040,0.000580,29.74,10.26
DOT,0.015000,0.000000,10.893246,0.040,10.878246,39.94,0.06
ETH,0.018400,0.000000,0.018449,0.040,0.000049,0.11,39.89
EUR,700.000000,0.000000,110.000000,0.110,-590.000000,-590.00,700.00
GBP,0.000000,0.000000,93.062606,0.110,93.062606,110.00,0.00
LINK,3.216000,0.000000,4.321054,0.040,1.105054,10.23,29.77
LTC,0.045900,0.000000,0.673605,0.040,0.627705,37.27,2.73
MATIC,83.790000,0.000000,117.302053,0.040,33.512053,11.43,28.57
SOL,0.000000,0.000000,0.341099,0.040,0.341099,40.00,0.00
SUSHI,64.020000,0.000000,79.522863,0.040,15.502863,7.80,32.20
UNI,4.506000,0.000000,7.068387,0.040,2.562387,14.50,25.50
USD,94.810000,0.000000,122.086570,0.110,27.276570,24.58,85.42
USDC,4.870000,0.000000,166.112957,0.150,161.242957,145.60,4.40
USDT,45.340000,0.000000,132.890365,0.120,87.550365,79.06,40.94
XRP,50.000000,0.000000,80.000000,0.040,30.000000,15.00,25.00
